item_id,category_id,item_name,brand,unit_price,is_active
I001,C01,Sony LED 42-inch,Sony,45000,TRUE
I002,C01,Samsung LED 50-inch,Samsung,55000,TRUE
I003,C02,Samsung UHD 55-inch,Samsung,65000,TRUE
I004,C03,Sony QLED 65-inch,Sony,120000,TRUE
I005,C04,LG Double Door Refrigerator,LG,30000,TRUE
I006,C05,Symphony Air Cooler,Symphony,12000,TRUE
I007,C06,HP Pavilion Laptop,HP,60000,TRUE
I008,C06,Dell Inspiron Laptop,Dell,55000,TRUE
I009,C07,Everest Garam Masala,Everest,120,TRUE
I010,C07,MDH Chana Masala,MDH,110,TRUE
I011,C08,Everest Turmeric Powder,Everest,90,TRUE
I012,C08,MDH Red Chilli Powder,MDH,95,TRUE
I013,C09,Levi’s Slim Fit Jeans,Levi’s,2500,TRUE
I014,C09,Wrangler Regular Fit Jeans,Wrangler,2300,TRUE
I015,C10,Van Heusen Formal Shirt,Van Heusen,1800,TRUE
I016,C11,Allen Solly Casual Shirt,Allen Solly,1600,TRUE
I017,C12,Peter England Formal Pants,Peter England,2000,TRUE
I018,C13,Mufti Casual Pants,Mufti,1900,TRUE
I019,C14,Kurlon King Size Bed Cot,Kurlon,25000,TRUE
I020,C15,Godrej Leather Sofa,Godrej,45000,TRUE
I021,C16,Ikea Dining Table 6-Seater,Ikea,32000,TRUE
I022,C17,Kurlon Mattress Queen Size,Kurlon,15000,TRUE
